text,label
nesaprotu šito mētāšanos ar ēdienu.. lielākā daļa pasaules dzīvo nabadzībā un badā bet te redz tradīcijas ielieik pa galvu ar olu ?! vēl jau viņiem tur tai pusē ar tomātiem un ar apelsīniem mētājās.. bļ.n.. tāpat nesaprotu to vēršu durstīšanu arēnās... kam nah.er tas vajadzīgs priecājās kā kādu var nogalināt.. un mēs esam homo sapiens.. tpu ...,0
"Iznīcināt 1000 savus iedzīvotājus ar zarīna gāzi Krievijai liekas normāli? Ak jau aizmirsu, Krievijai cilvēki nekad nav interesējuši, galvenais vara un politiskās ambīcijas...",0
"Tumsa iet uz beigām, tāpēc tā cenšas iznīcināt pēc iespējas vairāk, bet nekas, gaisma jau ir blakus, pirmie gaiļi jau nodziedāja un nu, lai Latvijas iznīcinātāji sāk gatavoties taisnai tiesai.",0
"Vienotajā Eiropā mums tās arhitekti labklājību nav plānojuši, un tev atliek tikai priecāties, ka būsi kļuvis par daļu no nēģeru, muslimu un pederastu sajaukuma.",1
"Tu esi muļķis un visi laikam ir muļķi,ka ļauj sevi vienkārši iznīcināt!",0
"Lata banknošu iznīcināšana ir muļķība un noziegums. Piemēram, Vācijā, deučmarkas glabā nenoskārstai vajadzībai...",0
"Paldies par tēmu. To ajadzētu paplašināti un padziļināti stāstīt un stāstīt, kamēr vēl ir cilvēki, kuri bija aculiecinieki kā uzvedās okupanti un kā oficeršas uzģērbuša kombinē gāja uz operu etc., etc.",0
īsts žīds ir Ilves un ne par ko labāks par Latvijas žīdiem.,1
"Ja voldemārs opelts vispār eksistē ,tad tādu deģenerātu pasaule vēl nav redzējusi.Kāda tev kretīn starpība Lembergs vai Krievija,ja tauta varētu dzivot labāk?Kaut vai čigāni un cukčas nāk pie varas,tomēr labāk būs kā patreizējie d....līdēji un tautas nodevēji....",1
Nolādētie okupanti Rīgu padara līdzīgu Maskavai ar rasPutinu.,0
"Mīļumiņ, tā &quot;naidīgu okupantu varza&quot; viegli var kļūt par lojālu pilsoņu varzu - tas ir tik no mums pašiem atkarīgs. Paldies mūsu politiķu tuvredzīgajai iekšējai politikai, un vieglu panākumu alkām, ka mums ir tas, kas ir :)",0
"Pareizi dara, es arī nebraukšu uz bijušo okupantu zemi nekad.",0
"Ārprāc! Cik nozēlojama ir šī tautiņa, ka te var lasīt tādus komentārus, ka visās nelaimēs vainojama valdība, Ušakovs, žīdi, krievi, Maskavva, NATO, ES un vēl sazin kas, bet tikai ne paši rakstītāji, kas noteikti vai nu vēlēšanās sēdēja pie šmigas glāzes, vai stulbi, neko nedomājot balsoja par to pašu saeimu un tiem pašiem deputātiem tikai lai nobalsotu un dabūtu pasē zīmodziņu savam mierinājumam, ka nu ir izdarījis visu, lai Latvija būtu paradīze zemes virsū.",0
"Ušakov,tevi tauta patrieks ar tavu žīdu Ameriku.Jums abiem pa nakti ap gultu staigā mani mirušie.Jo tikai viņi zina ,kas vainīgs.",1
"Ghi ghi, manas vēnas ir arī latviesu (lotgolisu) asins ar vecticībnieku asinām, es pēc šiem apstākļiem emu okupants? Tad paskati uz latviešu uzvārdiem visa latvija veidota no okupantiem, neviena tīrsasiņaina latviešu nav palicis viņi nomira kā dinozauri!",0
"tam klaunam aŗī žīdu globalizatori ir ieteikuši popularizēt Latvija airo. Nu kā lai savādak saprot to jautrību, ar kādu tas klauns tagad par eiro iepirksies. It kā no katres bankomātos nav iespējams izņemt vietējo valūtu.",2
"Vislielākās pārmaiņas atkal gaida mūs-uzņēmējus, kurus par katru cenu šitie pamuļķi cenšas iznīcināt.",0
"Ausainis izdomājis RĪGAS okupantu pensionāriem ,kas Rīgà sastāda 3/4 no kopèjā pensionāra skaita ,uz visas Latvijas iedzīvotaju rēķina ,apmaksāt brīvbiļetes.Cik Latvijas nodokļu maksātājiem šis Ausaiņa kārtèjais eksperiments izmaksās?Vai kàds vispàr ir painteresējies cik tas RĪGAS budžetam izmaksā?",0
Šo lopu aiz pautiem pakārt,1
"Tas nav nekāds mūsējais, bet jūsējais,t.i. okupantu atvašu naida kurinātājs un revanšists.",0
"Ļoti pareizi Volodja,viņi nav nepilsoņi,viņi pēc Ženēvas konvencijas ir OKUPANTI un tev Volodja bija viņus visus !! jāsavāc uz Krieviju !! Tu jau paliec nekaunīgs Krievijas dēls!!",0
"Vai šonedēļ arī būs salūts?Ceturtdien 25.decembrī bija ,1.jauvārī bija, derētu arī nākošās nedēļas pa salūtam, jo redzams, ka citādi naudiņu neprot iznīcināt (citādi nenosauksi). Primitīvi!",0
ne jau VISI tur ir čigāni. Aizbrauks darba spējīgi un Lielbritānijas uzņē'mējiem nebūs jābankrotē. Vietējie prot tikai protestēt un pūst taurītē.,1
"Paskatoties uz vietējo čigānu darba sparu un nodarbēm, kļūst žēl mūsu Eiropas Savienību.",1
Čigāni saviem zirgiem esot bieži devuši vārdu Dolārs.,1
"Bībele pat šodien satur aicinājumu ,atļauju nogalināt par masturbāciju, dzīt laukā sievietes menustrācijas laika. Bībele atļauj nogalināt par neticību Dievam. Bībele ir izaicinājums likumam ,satversmei ,vispārcilvēciskajām vērtībām.Bībele ir ienaidnieks zinātnei, medicīnai un progresam.",0
"Bet vai tad jau aizmirsi,kā taurēja propagandas mašīna, kāda laba dzīve mums sāksies pēc eiro ieviešanas....investīcijas plūdīs iekšā, nevajadzēs konvertēt valūtu, radīsies jaunas darba vietas, palielināsi es algas, pensijas...nu apmēram tā pat, kad stājamies ES arī skaloja smadzenes. Drīz jau laikam sāksim izjust to labo dzīvi, jo citādi nebija jēgas latu iznīcināt vai ne?",0
"okupantu nauda!Visu politiku diktē divas ģimenes,Rokfellers ar Rotšildu ģimeni!Viens pa ASV otrs pa eiropu...Viņu mērķis ir ieviest uz pasaules vienotu valutu...",0
"krievijā pietiks arī tev vietas..par mums vari neuztraukties,bet vispār kapi palielinās -- pirmie okupanti ir jau veci.",0
"Man nepatīk okupantu muldēšana, varēja jau vienreiz aizvērties šovinistu rupors. Daudz kas nepatīk tiem bijušiem okupantiem.",0
"Kādā valstī dzīvojam, vai PSRS kad vajadzēja tikai rkstīt i pļurkstēt krieviski, tas ir okupantu valodā. Tē ir Latvija, te jārunā latviešu valodā.",0
"žīda smakai jābūt ,mūsu žīdi par pasauli slapstās !",2
"Žīdi arī var spridzināt, kā izrādās.",2
latviski ir eiris eiro tas ir okupantu valodā !!!,0
latviski ir eiris eiro tas ir okupantu valodā !!!!,0
"Vai zini, kā katoļi ienāca šajā zemē? Kā okupanti.",0
"es ari par eiro.ticiet bus labak.Ne pa velti visi musu okupantu pecteci peksni ir PAR latu,peksni baigie patrioti palikushi.Smiekli nak!Vini vienkarshi saprot ka ar eiro ieviesanu mes atkal mazliet attalinamies no vinu matj-rodinas.",0
"kur Putina koris, kuri brēkā visos saitos par Putinu, atbalstot viņa jauno ideju - iznīcināt līdz saknei.",1
Čigāni ir mūsu biedrības pamatelektorāts.,1
"Kas par modi: okupēt cilvēkiem valstis, izlaupīt, iedzīt nabadzībā un pēc tam izdzīt trindā , saucot to par &quot;civilizācijas labumu sniegšanu&quot;... un es vēl domāju, ko te pa internetu staigā tās idejas celt čigānu ciematus..ja jau sabrauks savējie, tad i pilsētas sacels, citi ķīniešu, citi čigānu- nedod dies, ka tik ne latvieši- tie nabagi jāizēd pavisam...",0
"Ja Zeds tiešām ir hinduists, tad runā tīro populismu! Čigāni ir zemākā no kastām un pēc karmas likumiem, ko hinduisms atzīst, piedzimt šajā kastā nozīmē maksāt par saviem grēkiem un izpirkt ar dzīvi. Indijā ir vēl zemāka kasta par šudriem (pie kā pieder čigāni), mļeči- nepieskaramie. Pasaule, tāpat kā dzīvs organisms, norobežojas no baciļiem vai mēģina tos neitralizēt un izvadīt.",2
"Kāpēc šie aicinātāji nepavaicā šiem čigāniem, ko viņi paši ir darījuši, lai sabiedrība viņus neatstumtu, lai uzticētos un pieņemtu? Vai viņi maz spējīgi dzīvot godīgi strādājot? Jāsaka gan, ka Latvijas izcelsmes čigāni, ne no bijušās PSRS un Moldovas iebraukušie, kas apdzīvo Sabili, Kandavu ir pavisam citas raudzes, labi sadzīvo un godīgi strādā.",2
"Šeit priekš viņiem ir radīti vislabākie apstākļi, pirms vēlēšanām dome par nodokļu naudu taisa sētas pie čigānu mājām apmaiņā pret balsīm, puse pilsētas jau tagad izskatās pēc cūku kūts, pārējie no šejienes bēg projām...drīz Viļaku varēs pārdēvēt pat Romu....",1
"Es esmu absolūti pret uzskatu, ka visi čigāni šmaucās, nestrādā un negrib strādāt parastu darbu, jo es zinu tieši vienu čigānu, kurš ir izmācījies, gudrs un visādi citādi cepuri nost viņa priekšā!",2
"moderator tu esi vai nu čigāns vai PIdagogs,ka nelaid cauri komentus...",2
"Katru dienu novēroju diskrimināciju.Ne visas somas un kabatas pieņem čigānu sastrādātās rokas,bieži pat draudus un necenzētus vārdus nākas dzirdēt.",0
"Bet es zinu desmitiem latviešu,kuri dzīvo kā čigāni un negrib ne mācīties ne strādāt!",2
Viņš jau gribētu bet čigāni nav tik dumji kā viņam gribētos un uz Nevadu nebrauc!,0
"Nu ko viņiem darīt darīt dzimtenē? Tur viss ir nozagts, tagad jāmauc uz citām valstīm uzdarboties! Visi čigāni ir spekulanti un krāpnieki, neesmu nevienu vēl jēdzīgu saticis.",2
"Jā, zagšanas jomā čigāni ir nepārspējami.",2
"Pie čigānu &quot;aparteīda&quot; visvairāk vainojami viņi paši. Jau viņu &quot;politkorektais&quot; pašnosaukums &quot;romi&quot; nozīmē &quot;cilvēks&quot; _pretnostatījumā_ visiem pārējiem, tieši tāpat kā kopienas iekšējo likumu pacelšana pāri valsts, kurā atrodas, likumiem. Tāds neliels lokālais šariāts. Viņi paši ir sevi nodalījuši no pārējiem un nebūt netaisās to mainīt. Pastāstiet, kā mēs to varam izdarīt viņu vietā?!",2
"Man vienmēr ir radījusi izbrīnu mūsu valsts vadības attieksme pret dažādiem ārzemju &quot;vadoņiem&quot;. Šoreiz pret Radživu Zedu, citrreiz pret to pašu Zurovu. Kuri principā ir nulles ar lielu muti, un kurus vienkārši nav jāklausās. Savā laikā Zeda priekšā visa Saeima centīgi taisnojās, kāpēc Saeimas kapelā viņam neļauj noturēt hinduistu dievkalpojumu, tagad daudzu svarīgāku jautājumu vietā laikam tiks izskatīts jautājums, ko Zeds teica par čigāniem. Jā, _Latvijas_ čigāniem ir problēma ar viņu pašu integrāciju sabiedrībā, un to ir vispirms jārisina _viņiem pašiem_. Labāk vai sliktāk, bet Latvijas čigānu kopienas vadība to cenšas darīt. Un Bulgārijas un Rumānijas čigāni šeit netiek un netiks aicināti un integrēti _uz mūsu rēķina_. Ne šiem čigāniem, ne Zedam mēs neesam kaut ko parādā.",0
"Parādā esošais okupants? Jā, jūs tiešām esat daudz parādā latviešu tautai.",0
Drīz mācības būs okupantu u r l u riešanā . Kad to smerdeli patrieks ?,0
"Cik dīvaini un tumsonīgi ir šie cilvēciņi, kas ārdās par sūda pieminekli un dzīvo savā žultainajā indē... Ir Latvijai taču svarīgākas problēmas mūsu dienās, ne? Cik var rakāties vēstures mēslos kā cūkas un kviekt.. 9. maijs, UAAAA, 16. marts, UAAAAAA, okupanti, fašisti, nez kas vēl, UAAAAAAA!!. Ko jūs gribat, lai jūsu bērni arī šādā naidā aug un dzīvo, lai viens otru apsaukā un akmeņiem apmētā? Un ko tas dos, ja arī nojauktu to piminekli? Vai tas mainīs to cilvēku pārliecību, kas tur iet, un kuriem tā vieta ir svēta? Kristietību viduslaikos nesa ar krusta kariem, inkvizīciju, tāpēc jauksim baznīcas nost? Iesim ozolu birzīs Pērkoņtēvu pielūgt?",0
"ja nometīs atombumbas, paši iznīks. Maskavā dzims kropļi, kā tagad Černobiļas apkaimē. drīzāk iesūtīs nogribējušos un pazemotos krievu zaldātus, kas lūrēs kā ko nolaupīt, vai izvarot. 91. gadā puča laikā Latvijas radio apsargāja krievu milice ar lieliem pupiem. Tikko atstāta viena ar krievu desantnieku, šamējais metās šai virsū gar pupiem grābstīdamies:) ....neskatoties uz to, ka abi bija krievi:D",0
"Piemiņas siena ir tiem, kurus apšāva krievu okupanti slepkavas, kuri apdirsās un muka kā utis prom, kad Vācieši atbrīvoja rīgu, jo nošāva cilvēkus par smēķēšanu(tjipa signalizē vācu bumbvedējiem) utt. Laikam nevar vēl aizmirst kā apmīzušies padirsa Rīgu un tā ari nekad nevarēja uzvarēt Kūrlandes Aizstāvjus!",0
"Latviešu valodā vārds &quot;žīds&quot; ir izmantots vismaz trīs gadsimtus, kopš kura brīža tas ir uzskatāms par aizvainojumu? Tad jau krievus arī jāsauc par ruskijiem, zviedrus par svēdiem, igauņus par estiem utt. arī - angļiem, somiem un citām tautām mums ir savi vārdi, kuri nav &quot;sazilbējami&quot; ne ar vietējo ne citām valodām. Ko var ņemties ar tiem ŽĪDIEM? Žīdsi r žīds.",0
rudā lapsa okupantu [cenzēts] līdēja,0
"&quot;Tā ir..., Tā ir...&quot; 50 gadus tā sadarbojāmies ar krieviem un tā plaukām, ka nevar saprast kā šurpu nokļuvām .... Bet tagad viss krievu laikos uzceltais sāk brukt ,bet uzpasēt nevajadzēja,tā tak okupācijas palieka,nu skatīsimies kā jaunie okupanti cels Latvijas labklājību.",0
"Pareizais prūšu pilsētas nosaukums ir KARAĻAUČI (vācu okupanti gan krustneši, gan hitlerieši visos laikos šo pilsētu devēja par Kēnigsbergu, krievu komūnisti - par Kaļiņingradu).",0
"Pediņš, Tu, izvirtulis. Zonā Tu pasēdētu pliks...",2
Kad izskatīs jautājumu par okupantu brīvbiļetēm vienvirziena izbraukšanai uz austrumiem?,1
"Kopš atvēra robežas, cilvēkiem ir iespēja nopelnīt vairāk vecajās Eiropas valstīs. Latviju izshēmoja NORMĀLIE Šķēles, Lembergi un citi parazīti.",0
"Okupēja Latviju Padomju savienības armija, kuras sastāvā bija igauņi, lietuvieši, latvieši, ukraiņi, gruzīni un visi viņi bija kompartijas biedri. Tātad, komunistiskās partijas biedri, tās ideoloģijas piekritēji ir okupanti un Neatkarīgas Latvijas nodevēji.",0
"Superīgi sanāk, Rīgā dzīvo cilvēki aiz Rīgas robežas necilvēki. Dzīvoju 4 km no Rīgas robežas iepērkos Rīgā strādāju arī , bet esu necilvēks kuram jāmaksā transportā vairāk, pasakiet --- AR KO ES ESU SLIKTĀKA PAR RĪDZINIEKEIM??????",0
"Rīgā darba vietu vairums - valsts iestādes un tie, kas to apkalpo. Vēl tūrisms (kur okupantu ieguldījums mazs, ne jau sovjetu smirdoņu te kāds brauc baudīt). Bezzobu valdība, kas to atņem Latvijai.",0
"To okupantu pieminekli vajadzēja novākt tajā pašā laikā, kad novāca ļeņinekļus. Tā tas tika izdarīts Jelgavā, un problēmu vairs nav.",0
KURŠ NORMĀLS LATVIETIS OKUPANTU SIMBOLUS SLAVEES,0
krievu okupanti gadsimtiem dzēruši cit5u tautu asinis,1
"Vajag DEMONTĒT šo un vēl veselu baru, kas saistās ar padomijas tēmu un izveidot ko līdzīgu leišiem- Gruto parkas, kur tādi savākti. Vēsture ir vēsture un tur neko nepadarīsi. Kāpēc iznīcināt, ja pēcāk var taisīt biznesu? 9.maijā &quot;īstenie&quot; Latvijas iedzīvotāji tur pulcēsies, liks ziedus un maksā par ieeju. Iznīcināt ir viegli, bet ko parādīsim nākamām paaudzēm? lai zinātu ar ko nāksies sastapties, ja šie te sāks valdīt.......",0
"NAV TAS PIEMINEKLIS NEKĀDĀ VEIDĀ SAISTĪTS AR LATVIJAS OKUPĀCIJU ,TAS IR CĪŅAS UZVARU PRET HITLERIEŠU FAŠISMU . JA UZVARĒTU VĀCIJAS FAŠISTI BŪTU VĒL SLIKTĀK NEKĀ PSRS ,TO PAREDZĒJA HITLERA PLĀNS ,LIELĀKO DALU IZNĪCINĀT , PĀRĒJOS PAR BRĪVU , BEZ SAMAKSAS , IZMANTOT KĀ VERGUS UN .T.T. VAJAG LABI MĀCĪTIES VĒSTURI ,KĀDI BIJ HITLERIEŠU PLĀNI ?",0
"Patiesībā vienus okupantus nomainīja citi, vēl daudz briesmīgāki - sarkanie okupanti",0
"Nu faktiski jau latvieši vēlas Latviju bez visas šīs naidīgās okupantu varzas, ko putins aizmirsis savākt atpakaļ uz savām sādžām.",0
Nošaut tos kretīnus un viss...,1
"tie rašas [cenzēts] un mūsu 100 zilīši visi uz vienu roku grib mūs apcirpt un izvarot gan morāli gan garīgi, jāņem dakšas un jāiet ieviest jaunā kārtība drīz",2
Tiks apspriesta sc vēlētāju deportācija uz etnisko dzimteni.,2
"Vienīgie, kurus vajadzētu pakārt, ir Rīgas izzadzēji Ameriks un Ušakovs. Pakārt Uzvaras laukumā!",2
"Kaka lasti - tas skan pēc žīdu valodas, nevis pēc amerikas latvieša. Amerikas latvieši ir pasaules zelta fonds! Past to tu, cūka, nesaproti!",0
Nu Lettiņi! Ir jau laiks SAPRAST! kas ir Latvju TAUTAS ==iznīcinātājs!== VIENOTĪBA=? LŪK -kur okupanti ! Pret savu TAUTU! kopā ar =rižo= slotu !,0
"kad kim čen ir am ir vārda diena?- par viņa dzimšanas datiem ziņu nav. pils.bērziņš, pareizāk, viņa sekretutka, varētu veikt kādu apsveicienu! nu, kaut, žīdu jaunajā gadā. vai, ķīniešu. bet, po russki, požaluista.",0
"Ušakovs radija RMS ar vienu domu- iznīcināt privāto biznesu, mikriņus! Lai RS būtu monopolisti!!!",0
"Krievu žīdi demonstrēs vecu kara tehniku .Teātris ,kas smīdinās eiropiešus.",1
1991.g. bija klintona un jeļcina vienošanās par okupantu integrēšanu Latvijā. Tā kā neko nemainīs. .,0
tie parazīti uzņēmēji tikai savāc naudu kura pienākas dombrovskim siliņai un bukānei.,0
tie parazīti uzņēmēji tikai savāc naudu kura pienākas dombrovskim siliņai un bukānei..,0
"Ko jūs atkal nīdat, kādi okupanti. Beidzot varēsim ietaupīt uz valūtas maiņām, iepirkšanos internetā utt. Esmu nodokļu maksātājs nevis parazitētājs kā visticamāk lielākā daļa no šiem ņaudētājiem.",0
"Tā ir atklāta vai slēpta Latvijas valsts varas, satversmes un likumdošanas izvarošana. Pareizticīgai baznīcai un vietējiem kņaziem un baroniem neviens nav devis tiesības skaldīt Latvijas valsti guberņās. Visā Eiropas rietumu daļas pareizticīgie svin svētkus kopā ar pārējām konfescijām. Tikai Krievijas impērija grib izcelties ar savu &quot;autonomiju&quot; un izredzētību.Latvijas valstij ir jādara vis lai pareizticīgā baznīca pārietu Kontantonopiles garīgajā pārraudzībā.Kāpēc somi to varēja izdarīt?",0
"Bērziņ ! Kāpēc apklusi kad krievi sāk ieviest savus svētkus un pasludināt brīvdienas ? Atkāpies ,jo tu nekāds prezidents neesi , bet okupantu kalps .",1
Potējot un attārpojot Jūs nogalināt visas manas potenciālās spējas palīdzet pret astmu un alerģiju.,0
"Komjaunatnes profesionālais parazīts. Bet darbs ĀM norāda, ka biedram, iespējams, ir arī greiza orientācija.",2
"Ja Dombrovskis ar Čigāni izvēlas un vērtē prejera kandidatūru - tad valstij jau ir vāks. Ja vēl līdz šim brīdim bija kaut neliela, bet cerība, tad nosaucot šīs prsonas vairs nav ne jautājumu ne ceību. Malacis Solvita, izceļot tādus kā čigāne, likvidē sev konkurenci. Un tikai!",0
"Par otro-pēdējo ubagošanas gadījumu nezināju, zināju tikai to , kur prasīja naudu ceļam. Lai brauc atpaka[l uz Krāslavas pusi, saimniekiem kūts meitas ir vajadzīgas, dungojot varēs slaukt govis, arī govīm izslaukums celsies. Bet kur patreiz ir viņas bērnu bariņš, vai tāpat tiek vazāts apkārt pa pasauli. Neapkaunojiet Kombuļus, jo tur dzīvo kārtīgi cilvēki, nerakstat Kombuļu Inese, bet kaut vai Paskvāļu Inese[ pagaidām.].Pēc tam atkal būs kāda Nēģeru Inese u.t.t.",1
"Nolādu tos kārklu latviešus, kuri tupi, lai realizētu amerika biznesu, gāja pavadā, un rezultātā okupanti valdīs pār mūsu Rīgu. Kropļi, kā es jūs ienīstu un nolādu līdz septītajam augumam, kuri redz tikai savu bikšu priekšu! Vēl nāks piektais gads, un neviena okupanta vairs nebūs mūsu LATVIJĀ!!! Un kārklu latvieša arī! Tas ir vislielākais noziegums pret valsti, tautu-nodot savu zemi, Rīgu okupantiem!!!",2
"Vai kāds no tiem, kas putām uz lūpām apgalvo, ka padomjlaikos tiesas bija ļaunas, pildīja PSKP pasūtījumu iznīcināt latviešu nāciju, tagad varēs apgalvot, ka mūsdienu tiesas ir eņģeļi ar baltrozā spārniņiem?",0
Cik tie žīdi ir pasaulē sūdus sataisījuši.Ne velti bija grāmata izdota ar nosaukumu; žīdi valda pasauli. Tu rakstot laikam neko nezini par joskēm.,2
"Un kurš tad no privātajiem spēs?? Tādi kā Kargins un Krasovickis, vai tie žīdi no Liepājas metalurga? Lieliem uzņēmumiem vispār ir jābūt valsts rokās, jāpieder tautai, nevis pāris žīdeļiem, kuri nutad sāks grozīt cenas kā ienāk prātā!!",1
"Šie jau arī okupanti ,kā pie jums krievi sabraukuši tīrīt mūsu tualetes un miskastes atņemot bezpajumtniekiem darbu ārā no Īrijas uz dzimtajām mājām uz Latviju !",0
"Tev taisnība, tā tiešām ir! Bet mūsu drauga, krievijas domes vicespīkera Žirinovska teiktais, ka Baltijas valstis vajag okupēt un iznīcināt, bija domāts pārnestā nozīmē.",0
okupants urlakovs apmīzies ar putām uz lūpām aizstāv manu radu slepkavām veltīto pieminekli ...,0
"To okupantu sapulcēšanās vietu, okupantu pieminekli vajag nojaukt.",0
Bieži režosrors grib nogalināt aktieri.,0
"Ja vīrietis iegulda naudu savā māja un auto vai hobijos - tad ok? Bet, ja tā lutina un uzfrišina savu sievieti sev par prieku - tad sieviete ir prostitūta? Nu gan samuldējies...",0
"Vakar raksta par gadījumu, kad aizvakar Tukumā un Pūrē policija dzinās pakaļ kādai mašīnai, kurā brauca kāda sieviete- grūtniece un šāva. It kā tā mašīnas vadītājs nesamksāja naudu par 200 degvielas. Tas, ka varēja nogalināt šo grūtnieci un nevainīgu garamgājējus, policijas vadību nesatrauc. Nosodījumu policisti nesaņēma. Tad nav brīnums, ka policisti jau dara, ko grib.",0
